GeneID,Sample-SRR2073144,Sample-SRR2073145
AT1G09700,682,295
AT1G09710,71,40
AT1G09720,0,17
AT1G09730,953,279
AT1G09740,29,71
AT1G09750,4976,2822
AT1G09760,2483,1215
AT1G09770,3191,494
AT1G09780,4969,2893
AT1G09790,0,0
AT1G09794,29,16
AT1G09795,1539,754
AT1G09800,167,105
AT1G09810,328,149
AT1G09812,62,59
AT1G09815,1173,995
AT1G09820,160,127
AT1G09830,1084,447
AT1G09840,854,374
AT1G09850,357,232
AT1G09860,14,0
AT1G09870,945,312
AT1G09880,9,3
AT1G09890,17,6
AT1G09900,563,214
AT1G09910,292,169
AT1G09920,286,154
AT1G09930,13,17
AT1G09932,22,6
AT1G09935,0,0
AT1G09940,125,25
AT1G09950,18,16
AT1G09960,778,559
AT1G09970,1948,515
AT1G09980,885,169
AT1G09995,81,29
AT1G10000,20,0
AT1G10010,0,0
AT1G10020,488,211
AT1G10030,732,1254
AT1G10040,106,1
AT1G10050,169,35
AT1G10060,32,4
AT1G10070,8,0
AT1G10090,222,76
AT1G10095,85,3
AT1G10100,0,0
AT1G10110,10,0
AT1G10120,405,224
AT1G10130,434,157
AT1G10140,28,32
AT1G10150,225,98
AT1G10155,0,0
AT1G10160,158,89
AT1G10170,803,374
AT1G10180,1370,492
AT1G10190,0,1
AT1G10200,1657,608
AT1G10210,95,27
AT1G10220,5,0
AT1G10230,916,516
AT1G10240,289,101
AT1G10250,12,0
AT1G10260,0,0
AT1G10270,1004,499
AT1G10280,191,47
AT1G10290,2316,812
AT1G10300,0,0
AT1G10310,334,164
AT1G10320,257,25
AT1G10330,85,19
AT1G10340,0,0
AT1G10350,268,92
AT1G10360,41,26
AT1G10370,54,116
AT1G10380,68,15
AT1G10385,0,0
AT1G10390,2246,582
AT1G10400,0,0
AT1G10410,390,181
AT1G10417,22,0
AT1G10419,0,0
AT1G10430,553,485
AT1G10440,0,0
AT1G10450,531,89
AT1G10455,0,0
AT1G10460,62,14
AT1G10470,1957,1321
AT1G10480,0,0
AT1G10490,898,331
AT1G10500,474,382
AT1G10510,516,231
AT1G10520,104,0
AT1G10522,239,171
AT1G10530,3,0
AT1G10538,0,0
AT1G10540,196,80
AT1G10550,0,0
AT1G10560,0,0
AT1G10570,210,55
AT1G10580,1462,283
AT1G10585,0,0
AT1G10586,0,0
AT1G10588,0,0
AT1G10590,2298,2440
AT1G10600,115,47
AT1G10610,27,0
AT1G10620,0,0
AT1G10630,2031,1958
AT1G10640,1663,648
AT1G10650,370,76
AT1G10652,0,0
AT1G10657,93,16
AT1G10660,436,257
AT1G10670,3728,2514
AT1G10680,0,0
AT1G10682,2182,4170
AT1G10690,35,48
AT1G10700,151,61
AT1G10705,0,0
AT1G10710,44,7
AT1G10717,0,0
AT1G10720,291,25
AT1G10730,124,69
